id,value_a,value_b,value_c
118,296,40.46,9
119,770,94.46,-386
120,9,24.32,460
121,57,60.41,195
122,191,78.85,-48
123,18,19.23,-200
124,494,95.43,-404
125,971,19.2,-331
126,465,36.43,-277
127,822,1.25,-301
128,686,20.96,-138
129,772,89.3,-313
130,436,13.21,30
131,799,35.84,-172
132,601,17.17,169
133,634,51.21,-197
134,41,96.69,70
135,505,27.55,-283
136,91,3.09,-45
137,748,46.51,79
138,446,27.06,260
139,517,24.74,-353
140,826,60.58,-287
141,552,74.66,314
142,296,15.03,459
143,364,41.49,455
144,726,91.37,170
145,635,61.97,-392
146,747,85.29,421
147,809,99.81,458
148,918,55.36,-275
149,102,13.97,-54
150,531,0.29,-316
151,573,28.95,192
152,645,77.93,27
153,735,11.83,-484
154,608,19.75,255
155,824,58.17,268
156,55,82.84,-335
157,327,80.25,225
158,145,75.29,305
159,326,23.65,10
160,432,14.99,-431
161,563,89.95,-318
162,335,94.26,318
163,351,41.11,-70
164,375,20.69,295
165,182,88.75,-333
166,190,33.31,64
167,336,79.51,86
168,502,85.34,484
169,552,57.59,194
170,543,54.58,292
171,369,92.32,159
172,147,92.53,-464
173,377,40.5,400
174,435,95.78,-291
175,182,18.73,-279
176,275,25.82,102
177,664,11.82,-151
178,516,9.84,-315
179,441,68.19,163
180,631,68.76,-439
181,542,80.73,-49
182,163,50.97,-126
183,498,47.0,-133
184,298,58.67,-64
185,668,22.34,492
186,731,33.72,-22
187,382,46.17,-492
188,350,25.29,197
189,272,53.12,-176
190,184,32.22,-333
191,786,63.03,33
192,49,93.34,-197
193,684,84.77,-293
194,769,64.53,-263
195,627,23.85,-70
196,164,82.64,315
197,439,25.94,-306
198,312,40.85,40
199,96,79.57,-420
200,773,40.46,-248
201,246,81.94,-336
202,64,94.74,191
203,833,31.44,69
204,740,46.98,422
205,194,76.94,59
206,103,2.29,23
207,904,4.08,-299
208,534,51.49,40
209,511,33.55,-439
210,156,54.78,419
211,630,87.4,175
212,193,79.62,-263
213,623,69.66,-290
214,326,43.12,305
215,897,88.18,-387
216,835,78.86,23
217,176,13.89,-2
218,596,25.92,74
219,327,32.88,23
220,461,6.53,-146
221,914,92.43,-181
222,292,9.71,-475
223,158,14.59,383
224,95,66.99,-478
225,655,33.82,-453
226,90,9.7,-424
227,83,22.63,416
228,700,35.23,-375
229,966,47.06,-63
230,701,4.16,-409
231,862,43.24,122
232,949,76.23,221
233,390,11.78,-375
234,174,47.12,115
235,939,30.22,150
236,779,70.41,-162
237,992,85.21,293
238,545,4.76,-274
239,129,46.05,295
240,469,8.62,16
241,218,70.36,-383
242,634,55.3,6
243,540,88.16,-453
244,95,52.34,-276
245,354,12.51,-280
246,675,27.99,-405
247,927,84.55,-189
248,462,63.64,-484
249,257,74.23,-448
250,567,81.91,151
251,132,53.88,-303
252,851,26.05,-479
253,734,98.25,-78
254,394,16.29,-94
255,491,37.95,159
256,652,52.4,-217
257,420,80.82,389
258,284,33.84,324
259,516,28.54,-311
260,558,79.37,-496
261,783,96.77,-254
262,907,10.71,78
263,28,60.69,161
264,62,50.92,282
265,362,91.67,-168
266,862,0.46,-417
267,547,60.64,12
268,260,7.05,-362
269,524,19.8,144
270,139,62.76,-230
271,692,30.69,311
272,42,77.79,-457
273,831,9.82,11
274,510,23.68,-314
275,358,83.19,388
276,653,41.31,-225
277,119,96.11,492
278,392,69.23,265
279,380,45.12,-141
280,461,5.61,306
281,312,21.7,-144
282,618,89.29,296
283,444,37.64,36
284,466,60.57,440
285,728,82.57,131
286,38,36.37,416
287,605,72.75,-370
288,397,17.99,-471
289,303,77.1,-343
290,995,7.37,-59
291,954,7.36,-159
292,711,98.62,427
293,938,82.53,-353
294,642,19.94,361
295,644,18.29,217
296,213,84.6,393
297,458,28.91,-474
298,7,82.84,-67
299,75,88.08,-320
300,586,67.11,398
301,351,46.34,234
302,75,77.6,251
303,194,38.58,14
304,109,93.48,-135
305,83,55.48,230
306,108,77.55,-418
307,275,64.89,-488
308,813,27.87,46
309,454,83.21,298
310,857,86.89,421
311,726,55.81,-294
312,789,63.76,-220
313,999,31.64,390
314,704,47.61,-142
315,583,7.5,195
316,372,19.43,-33
317,96,44.02,325
318,326,82.7,-367
319,864,65.43,-136
320,747,89.83,352
321,880,10.24,-260
322,108,88.81,137
323,458,53.33,-44
324,4,51.9,-453
325,582,84.23,-239
326,180,48.35,375
327,99,80.21,-67
328,664,35.25,126
329,240,61.79,-409
330,996,90.22,188
331,782,2.77,15
332,6,64.12,-395
333,913,80.71,-112
334,412,28.78,414
335,796,91.36,324
336,511,67.63,289
337,771,90.72,-167
338,900,28.31,174
339,601,10.4,245
340,845,4.9,243
341,593,31.44,-425
342,661,31.25,-24
343,815,71.05,141
344,379,33.09,-204
345,406,0.31,-309
346,702,67.56,320
347,767,73.73,39
348,65,88.97,-159
349,134,4.31,-15
350,21,29.92,469
351,987,50.28,-297
352,683,14.28,89
353,416,83.02,349
354,329,12.99,-419
355,904,99.27,92
356,640,14.33,89
357,793,5.6,237
358,706,19.03,-173
359,8,70.49,-434
360,952,46.74,-247
361,995,39.43,453
362,130,44.42,-120
363,430,5.44,-337
364,907,16.26,94
365,910,70.27,330
366,335,93.89,380
367,905,78.18,-343
368,249,11.92,-100
369,39,42.83,95
370,953,2.42,-208
371,927,59.71,380
372,436,78.48,125
373,243,57.22,-222
374,274,48.08,-126
375,838,18.01,-108
376,900,72.58,426
377,74,39.73,-483
378,870,33.49,289
379,134,11.37,-389
380,950,18.48,-486
381,222,49.78,269
382,91,81.26,421
383,842,78.24,-315
384,586,80.13,-340
385,752,51.27,463
386,989,60.56,206
387,282,95.02,150
388,506,74.43,288
389,449,83.6,-310
390,493,61.6,-290
391,167,51.71,378
392,676,19.03,-399
393,15,48.36,197
394,962,15.68,312
395,119,87.3,120
396,482,98.19,-33
397,725,5.8,-484
398,434,1.25,232
399,638,26.4,-282
400,302,85.26,460
401,869,63.84,-342
402,191,67.68,107
403,478,48.9,-93
404,414,26.03,-372
405,39,44.46,342
406,137,40.33,-392
407,864,14.27,-178
408,283,38.11,-95
409,313,23.72,-279
410,541,59.14,-345
411,775,27.49,125
412,118,45.85,54
413,171,5.41,-221
414,995,53.43,-362
415,596,98.95,261
416,540,84.71,283
417,285,44.21,320
418,461,70.86,392
419,408,36.41,279
420,33,15.99,-226
421,916,36.85,-418
422,746,17.08,129
423,404,0.18,-386
424,90,23.92,-9
425,29,94.13,-460
426,731,28.44,171
427,29,48.54,96
428,58,91.09,-178
429,607,79.55,367
430,53,60.43,-64
431,994,2.45,30
432,972,89.02,-136
433,987,6.66,-241
434,705,85.79,-246
435,8,98.45,-357
436,168,28.65,-342
437,86,29.48,335
438,699,27.59,435
439,217,3.21,256
440,827,96.14,-47
441,425,80.95,246
442,236,85.2,39
443,477,37.2,-277
444,205,60.72,-170
445,919,24.98,385
446,577,2.42,105
447,559,46.76,416
448,286,76.07,471
449,268,60.16,465
450,339,47.79,328
451,155,84.82,397
452,200,36.48,87
453,211,89.67,358
454,866,30.77,289
455,714,64.1,-155
456,210,10.7,-351
457,586,10.3,319
458,317,52.85,49
459,733,83.48,-277
460,660,9.92,-138
461,479,82.39,-159
462,387,36.16,-44
463,389,21.2,-2
464,899,53.16,92
465,390,46.32,90
466,649,27.37,401
467,985,60.89,424
468,642,56.72,-26
469,393,85.81,-410
470,972,16.67,-351
471,302,60.63,-264
472,854,16.87,-56
473,853,38.98,163
474,321,70.27,399
475,836,30.55,-256
476,982,37.73,428
477,886,47.98,-458
478,554,53.94,-41
479,881,17.98,-187
480,223,82.56,-82
481,140,84.14,452
482,601,32.93,-18
483,224,34.13,-379
484,883,45.65,13
485,62,66.98,-492
486,685,75.1,-433
487,269,20.18,-16
488,37,66.87,-195
489,762,69.69,8
490,406,32.78,454
491,788,82.9,84
492,485,79.47,228
493,31,85.69,302
494,102,83.75,172
495,686,21.28,-312
496,391,94.43,-154
497,737,88.69,-33
498,713,43.44,-128
499,556,57.23,456
500,583,85.11,418
501,809,68.18,285
502,608,99.29,-107
503,54,44.33,-3
504,577,41.75,69
505,384,22.79,357
506,720,45.06,424
507,955,86.71,-402
508,268,5.68,-127
509,394,84.44,-144
510,381,65.31,415
511,255,61.51,-465
512,652,96.91,383
513,438,0.88,148
514,774,63.97,298
515,167,89.43,182
516,756,70.86,160
517,785,37.53,-278
518,219,88.25,-76
519,599,77.34,315
520,970,51.74,183
521,711,57.7,1
522,143,82.32,459
523,252,41.93,216
524,222,89.65,201
525,179,27.93,93
526,782,48.49,35
527,352,44.25,-205
528,304,68.68,-65
529,399,53.23,254
530,652,61.44,-309
531,564,55.66,472
532,489,78.77,-356
533,711,3.75,123
534,762,50.1,13
535,784,85.19,-98
536,566,28.86,-426
537,696,16.43,-155
538,543,88.61,118
539,682,86.6,-86
540,102,37.74,-376
541,841,90.28,-490
542,942,60.47,-190
543,141,64.6,410
544,696,99.69,130
545,183,60.35,135
546,197,9.75,70
547,732,83.68,-173
548,479,74.4,6
549,366,68.1,189
550,288,90.45,-39
551,926,86.37,230
552,673,62.77,196
553,617,41.29,-449
554,779,29.51,271
555,14,84.73,494
556,279,71.17,371
557,99,57.13,-120
558,818,76.49,199
559,512,12.22,-252
560,982,63.92,92
561,436,40.81,-142
562,756,41.4,91
563,78,58.53,69
564,582,32.33,224
565,773,53.61,281
566,655,77.97,-115
567,578,66.77,-114
568,9,51.78,484
569,659,29.48,-90
570,270,73.69,132
571,297,77.04,-489
572,990,63.73,-197
573,904,15.45,-329
574,944,9.62,228
575,999,37.85,-78
576,682,14.67,349
577,967,25.7,275
578,463,12.22,47
579,227,45.48,202
580,25,13.56,307
581,293,84.4,-300
582,689,81.53,394
583,212,17.04,-125
584,543,21.17,455
585,968,69.71,-204
586,674,61.73,-108
587,279,5.51,-484
588,593,73.18,345
589,995,40.1,-108
590,222,53.22,-363
591,976,99.86,-286
592,157,44.39,56
593,930,13.89,-130
594,396,33.66,487
595,566,65.0,-142
596,670,7.18,36
597,853,10.03,-161
598,184,37.32,373
599,281,51.32,33
600,298,78.01,432
601,3,24.18,-41
602,932,83.97,165
603,894,40.27,69
604,25,15.75,-433
605,688,49.23,-413
606,258,7.12,225
607,955,97.51,-381
608,246,39.62,141
609,143,51.49,-77
610,75,70.07,270
611,44,94.69,-6
612,536,35.02,-109
613,885,55.81,104
614,657,4.29,23
615,252,99.83,-57
616,187,8.67,252
617,862,88.27,-37
618,834,59.42,76
619,809,9.48,375
620,118,76.62,-413
621,781,99.72,-257
622,293,70.86,-74
623,516,43.72,144
624,699,57.42,160
625,302,52.85,51
626,779,1.88,-73
627,38,26.12,177
628,930,58.24,-354
629,692,10.94,280
630,233,26.43,1
631,550,31.08,141
632,774,91.59,439
633,922,46.0,-53
634,379,23.98,300
635,915,7.45,222
636,38,53.78,486
637,504,5.33,-191
638,862,86.64,-130
639,301,47.85,268
640,456,98.46,-22
641,950,90.16,-145
642,855,66.49,-413
643,967,62.26,-311
644,540,77.71,-104
645,594,68.05,496
646,954,32.24,-120
647,747,64.74,313
648,507,41.89,-451
649,800,65.17,-378
650,148,89.83,230
651,898,45.05,-373
652,655,38.35,359
653,776,23.18,469
654,585,65.1,-400
655,55,25.89,65
656,162,4.58,353
657,280,43.15,-185
658,512,78.95,476
659,717,46.11,-61
660,402,2.23,380
661,665,31.19,-235
662,980,7.6,-273
663,127,13.92,-380
664,338,25.47,106
665,399,73.97,376
666,826,77.81,311
667,818,87.69,-276
668,406,87.33,-57
669,756,44.03,-419
670,461,23.22,-53
671,281,27.08,-273
672,389,51.48,230
673,431,94.21,-160
674,55,60.61,14
675,350,26.98,213
676,40,56.71,298
677,952,9.96,-323
678,875,7.75,407
679,336,13.27,166
680,168,48.07,212
681,172,35.53,-223
682,262,44.31,-269
683,610,70.05,435
684,623,8.16,-386
685,473,52.56,-467
686,945,55.45,-356
687,871,56.24,-131
688,380,48.77,372
689,645,79.12,91
690,472,82.0,-341
691,336,11.46,365
692,864,5.92,-176
693,365,38.56,156
694,401,58.5,-396
695,598,28.67,-73
696,493,39.65,-102
697,775,67.34,475
698,788,42.46,369
699,735,31.73,341
700,33,65.32,-240
701,676,34.05,59
702,633,67.55,221
703,936,64.57,-265
704,690,30.86,-188
705,198,3.03,-260
706,796,97.2,181
707,356,78.53,364
708,470,78.92,285
709,935,39.41,-344
710,25,81.75,11
711,986,51.25,96
712,592,53.55,431
713,100,25.63,14
714,674,67.6,-361
715,568,50.89,204
716,707,46.03,-444
717,198,33.4,-343
718,938,28.83,264
719,500,61.12,177
720,42,60.72,353
721,394,55.11,275
722,277,35.96,-142
723,687,83.34,462
724,54,38.19,-431
725,295,6.58,235
726,661,5.06,-300
727,776,17.65,127
728,314,30.06,-144
729,556,35.14,-420
730,134,72.54,-76
731,833,48.08,139
732,157,89.85,183
733,859,77.62,178
734,719,36.76,278
735,69,10.65,-160
736,411,55.15,200
737,243,18.34,-7
738,903,54.45,318
739,561,22.93,137
740,463,74.4,349
741,649,22.76,56
742,972,11.89,252
743,289,55.24,134
744,636,16.49,-219
745,821,56.31,-1
746,631,2.15,-69
747,204,96.4,-234
748,878,96.51,170
749,257,95.03,483
750,493,69.38,-397
751,611,88.02,-263
752,924,41.65,-133
753,746,32.09,-366
754,350,1.9,240
755,36,96.42,-42
756,606,21.06,-421
757,707,39.78,-480
758,102,83.85,-464
759,583,7.49,46
760,3,85.48,214
761,627,71.01,12
762,73,54.04,334
763,486,54.01,-270
764,183,16.29,249
765,167,29.35,231
766,407,13.02,31
767,749,12.11,94
768,854,78.16,-411
769,409,33.91,-362
770,4,34.32,-248
771,310,45.96,-31
772,722,91.11,-43
773,542,29.28,207
774,478,90.98,-66
775,396,81.94,-239
776,5,90.02,-151
777,777,82.47,-412
778,17,59.85,444
779,308,44.18,-400
780,542,55.43,-428
781,955,57.47,-406
782,203,6.34,17
783,49,62.35,-39
784,290,77.95,12
785,653,88.35,-129
786,358,64.11,-203
787,996,14.51,-178
788,601,22.04,278
789,402,54.7,-42
790,483,52.27,-470
791,362,34.6,-418
792,550,10.5,-136
793,243,3.82,167
794,539,95.79,193
795,43,10.7,144
796,562,47.23,-215
797,780,36.01,-474
798,925,3.41,434
799,246,91.17,464
800,347,15.24,425
801,101,80.46,185
802,122,35.82,-83
803,157,5.38,-458
804,206,12.24,-83
805,297,94.13,-352
806,429,47.06,-493
807,740,66.17,-161
808,622,71.93,402
809,754,6.27,-44
810,835,44.66,-347
811,805,92.01,253
812,434,85.84,-409
813,119,62.16,165
814,985,33.35,-193
815,227,55.16,470
816,119,65.36,269
817,363,85.25,-138
818,239,5.89,-30
819,846,77.04,466
820,670,75.3,-336
821,456,68.31,34
822,602,16.39,281
823,432,51.36,-120
824,477,62.33,-274
825,135,50.34,-323
826,747,3.76,49
827,70,41.74,-110
828,590,79.14,407
829,296,79.39,175
830,819,59.32,298
831,296,84.36,156
832,482,22.91,-376
833,451,94.12,235
834,670,31.65,-392
835,132,6.72,-316
836,933,69.11,129
837,779,55.89,462
838,10,20.09,80
839,295,26.3,-466
840,755,81.85,-74
841,445,40.99,418
842,469,39.44,-491
843,15,58.04,367
844,971,10.03,489
845,126,56.44,-416
846,580,26.93,318
847,415,73.24,143
848,829,19.85,-2
849,46,94.39,234
850,790,13.78,-350
851,197,48.3,43
852,780,18.28,-454
853,446,22.3,290
854,297,41.11,-428
855,401,70.55,-247
856,847,68.63,-149
857,870,67.91,-151
858,466,74.71,277
859,848,32.96,-299
860,24,96.02,-481
861,637,20.68,115
862,843,72.29,5
863,160,32.15,-251
864,722,62.82,363
865,623,67.48,-328
866,509,90.7,-487
867,444,8.57,-367
868,21,71.37,353
869,285,50.26,-479
870,10,25.32,340
871,863,42.94,70
872,545,1.37,332
873,5,84.34,458
874,210,31.21,422
875,649,92.81,-51
876,211,9.2,53
877,619,44.77,20
878,768,44.39,-312
879,410,21.48,208
880,698,35.44,-261
881,369,84.62,-353
882,604,70.02,34
883,774,87.06,329
884,282,79.88,424
885,785,27.6,315
886,298,92.66,44
887,198,73.72,107
888,457,66.43,-371
889,712,11.01,434
890,309,6.01,-263
891,266,1.93,-389
892,214,88.53,-335
893,469,57.7,106
894,814,64.17,-13
895,328,81.16,462
896,91,33.12,445
897,625,42.1,442
898,296,37.83,-479
899,859,33.18,96
900,863,7.2,49
901,83,18.1,-59
902,976,68.43,-197
903,213,41.89,-179
904,281,11.5,-161
905,905,10.42,418
906,582,27.06,-498
907,609,91.11,-457
908,796,11.7,2
909,573,19.68,-381
910,594,80.1,237
911,23,65.48,157
912,576,63.19,-228
913,756,36.61,90
914,269,94.46,-411
915,617,93.87,-285
916,686,90.24,293
917,955,81.57,187
918,604,28.71,368
919,511,34.2,96
920,438,49.46,-175
921,441,21.22,-61
922,936,69.81,144
923,958,23.73,-336
924,157,63.08,-477
925,273,17.86,-489
926,879,71.71,-184
927,240,9.17,244
928,297,33.84,-464
929,64,57.17,449
930,886,51.49,268
931,22,68.81,-53
932,652,77.23,-74
933,174,60.14,-251
934,650,67.49,-378
935,145,43.81,217
936,221,19.87,-182
937,144,49.92,440
938,420,89.71,-62
939,901,69.96,-437
940,993,79.7,195
941,92,38.24,36
942,519,74.81,214
943,932,69.38,419
944,822,80.28,60
945,456,57.13,-396
946,189,60.74,-305
947,708,53.47,258
948,116,1.88,-415
949,493,17.55,-288
950,84,70.53,41
951,187,17.22,105
952,212,29.74,266
953,953,89.0,-432
954,660,76.12,-293
955,5,97.47,456
956,731,40.51,251
957,967,73.73,-283
958,984,46.93,-306
959,610,67.65,-361
960,760,82.89,445
961,563,33.07,-256
962,114,52.4,-18
963,216,25.27,190
964,802,9.83,474
965,142,0.84,-25
966,596,70.98,401
967,538,4.45,172
968,679,48.12,-145
969,149,8.45,-32
970,829,51.11,49
971,285,84.35,483
972,355,52.4,440
973,124,20.68,-356
974,490,41.01,-310
975,799,7.65,134
976,164,89.88,-204
977,701,8.5,302
978,189,86.25,347
979,498,67.44,-238
980,1000,52.65,-109
981,701,85.36,492
982,319,55.21,480
983,4,31.03,459
984,143,56.24,192
985,217,99.19,291
986,993,50.42,361
987,323,64.92,186
988,563,65.79,120
989,114,63.3,4
990,207,35.26,421
991,441,13.56,-372
992,589,17.77,156
993,240,0.74,492
994,78,8.28,212
995,327,17.57,-68
996,525,80.33,-459
997,818,16.42,117
998,787,70.35,-14
999,208,74.61,491
